                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7158,                 3.9733,                 1.4875,                0.00244,                 0.6875,                0.08269,                0.04527,                      0,                    inf,                      0,                 0.0883,                 0.0013,                 0.0013
                      1,                 1.4323,                 3.1026,                 1.3056,                  0.003,                0.84375,                0.25013,                0.14233,                      0,                    inf,                      0,               0.075687,              0.0026866,              0.0026866
                      2,                  1.402,                 2.1491,                 1.2925,                0.00712,                0.78125,                0.42762,                0.24209,                      0,                    inf,                      0,               0.063059,              0.0040594,              0.0040594
                      3,                 1.4807,                 1.7993,                 1.2196,                0.66215,                0.06144,                 0.3872,                  0.206,                      0,                    inf,                      0,               0.050418,              0.0054183,              0.0054183
                      4,                 1.4609,                  1.689,                 1.1952,                      1,                0.09096,                0.50239,                0.25004,                      0,                    inf,                      0,               0.037763,              0.0067634,              0.0067634
                      5,                 1.6366,                 1.6486,                  1.266,                0.91214,                0.32455,                 0.6771,                0.36026,                      0,                    inf,                      0,               0.025095,              0.0080946,              0.0080946
                      6,                 1.4822,                 1.5759,                 1.2345,                0.68049,                0.54688,                0.60414,                0.31514,                      0,                    inf,                      0,               0.012412,              0.0094119,              0.0094119
                      7,                 1.5622,                 1.5661,                 1.2428,                0.50146,                 0.3458,                0.36462,                 0.1481,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      8,                 1.5057,                 1.6031,                 1.2742,                0.64459,                0.60938,                0.61809,                0.32206,                      0,                    inf,                      0,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.4995,                 1.4408,                 1.2212,                 0.6533,                0.60938,                0.63193,                 0.3339,                      0,                    inf,                      0,               0.009604,               0.009604,               0.009604
                     10,                 1.4592,                    inf,                 1.1616,                0.62101,                0.60938,                0.61469,                0.29112,                      0,                    inf,                      0,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.4626,                 1.4241,                 1.2126,                0.64638,                 0.5625,                0.63626,                0.33907,                      0,                    inf,                      0,               0.009505,               0.009505,               0.009505
                     12,                 1.5069,                 1.4029,                 1.2755,                0.37313,                0.53014,                0.30461,                 0.1498,                      0,                    inf,                      0,              0.0094555,              0.0094555,              0.0094555
